Frame,Visibility,X,Y
242,1,489,273
243,1,487,275
244,1,484,279
245,1,481,284
246,1,479,289
247,1,479,289
248,1,477,296
249,1,476,304
250,1,475,314
251,1,471,326
252,1,468,336
253,1,468,337
254,1,468,349
255,1,466,362
256,1,465,377
257,1,462,389
258,1,461,408
259,1,460,414
260,1,461,427
261,1,460,444
262,1,461,460
263,1,491,433
264,0,0,0
265,1,508,410
266,1,532,388
267,1,546,375
268,1,560,360
269,1,575,347
270,1,587,334
271,1,585,339
272,1,602,326
273,1,608,324
274,1,623,320
275,1,632,317
276,1,647,313
277,1,647,313
278,1,657,315
279,1,666,313
280,1,678,318
281,1,686,317
282,1,696,320
283,1,696,323
284,1,707,329
285,1,709,335
286,1,717,342
287,1,727,352
288,1,732,359
289,1,732,359
290,1,743,349
291,1,748,338
292,1,754,334
293,1,761,324
294,1,763,319
295,1,763,318
296,1,767,313
297,1,771,310
298,1,776,308
299,1,781,307
300,1,781,307
301,1,786,307
302,1,789,307
303,1,794,309
304,1,796,313
305,1,798,319
306,1,799,325
307,1,805,332
308,1,804,337
309,1,808,339
310,1,811,348
311,1,808,347
312,1,786,281
313,1,786,281
314,1,771,230
315,1,759,192
316,1,759,192
317,1,736,124
318,1,728,99
319,1,727,94
320,1,717,72
321,1,711,53
322,1,703,39
323,1,694,18
324,1,692,10
325,1,689,9
326,1,687,3
327,0,0,0
328,0,0,0
329,0,0,0
330,0,0,0
331,0,0,0
332,0,0,0
333,0,0,0
334,0,0,0
335,0,0,0
336,0,0,0
337,0,0,0
338,0,0,0
339,0,0,0
340,0,0,0
341,0,0,0
342,0,0,0
343,0,0,0
344,0,0,0
345,1,628,7
346,1,627,15
347,1,623,28
348,1,623,29
349,1,621,39
350,1,622,52
351,1,621,66
352,1,618,79
353,1,618,93
354,1,617,94
355,1,617,107
356,1,617,125
357,1,617,138
358,1,615,152
359,1,617,162
360,1,618,158
361,1,601,222
362,1,582,267
363,1,582,271
364,1,563,334
365,1,552,366
366,1,552,366
367,1,546,398
368,1,541,419
369,1,532,447
370,1,531,468
371,1,524,494
372,1,528,498
373,0,0,0
374,1,514,462
375,1,518,433
376,1,518,400
377,1,516,380
378,1,516,380
379,1,517,359
380,1,517,348
381,1,516,331
382,1,516,318
383,1,518,317
384,1,518,317
385,1,518,308
386,1,517,303
387,1,517,299
388,1,518,298
389,1,519,295
390,1,520,296
391,1,520,296
392,1,522,301
393,1,521,299
394,1,522,306
395,1,524,310
396,1,524,310
397,1,527,318
398,1,528,323
399,1,531,332
400,1,530,340
401,1,532,348
402,1,532,348
403,1,532,357
404,1,528,348
405,1,516,310
406,1,510,288
407,1,507,274
408,1,506,273
409,1,499,259
410,1,496,249
411,1,493,239
412,1,488,229
413,1,486,222
414,1,486,222
415,1,483,220
416,1,478,218
417,1,477,214
418,1,473,214
419,1,471,217
420,1,471,217
421,1,469,218
422,1,467,224
423,1,463,229
424,1,462,239
425,1,460,249
426,1,460,249
427,1,458,258
428,1,458,268
429,1,457,268
430,1,452,302
431,1,453,312
432,1,453,313
433,1,450,334
434,1,448,349
435,1,448,371
436,1,448,386
437,1,446,411
438,1,446,411
439,1,448,436
440,1,457,341
441,1,464,263
442,1,472,218
443,1,476,183
444,1,476,182
445,1,482,155
446,1,483,132
447,1,488,115
448,1,493,100
449,1,496,89
450,1,496,90
451,1,499,81
452,1,502,75
453,1,506,69
454,1,508,64
455,1,511,63
456,1,511,63
457,1,514,62
458,1,516,62
459,1,519,64
460,1,523,68
461,1,523,72
462,1,527,77
463,1,528,75
464,1,531,82
465,1,532,88
466,1,536,96
467,1,538,102
468,1,537,104
469,1,541,114
470,1,543,120
471,1,545,132
472,1,546,144
473,1,548,157
474,1,550,158
475,1,550,166
476,1,551,175
477,1,537,200
478,1,532,214
479,1,524,232
480,1,524,232
481,1,518,242
482,1,513,258
483,1,507,276
484,1,503,288
485,1,502,303
486,1,501,303
487,1,497,318
488,1,492,337
489,1,492,351
490,1,488,369
491,1,487,387
492,1,487,387
493,1,484,399
494,1,481,422
495,1,478,442
496,1,478,463
497,1,474,484
498,1,475,488
499,1,473,502
500,0,0,0
501,1,537,428
502,1,550,412
503,1,583,387
504,1,585,385
505,1,605,369
506,1,621,350
507,1,641,338
508,1,655,332
509,1,671,324
510,1,671,324
511,1,681,316
512,1,697,309
513,1,707,309
514,1,723,302
515,1,738,303
516,1,737,302
517,1,748,302
518,1,758,304
519,1,768,308
520,1,780,313
521,1,787,317
522,1,788,315
523,1,795,321
524,1,801,328
525,1,817,338
526,1,821,344
527,1,832,353
528,1,832,353
529,1,835,361
530,1,843,371
531,1,846,380
532,1,848,330
533,1,848,310
534,1,848,309
535,1,848,292
536,1,847,273
537,1,848,260
538,1,848,245
539,1,850,237
540,1,851,234
541,1,849,227
542,1,850,223
543,1,851,218
544,1,852,213
545,1,852,211
546,1,852,212
547,1,853,210
548,1,853,212
549,1,853,216
550,1,853,217
551,1,853,223
552,1,853,225
553,1,853,231
554,1,853,238
555,1,851,252
556,1,852,262
557,1,852,277
558,1,852,277
559,1,851,286
560,1,851,303
561,1,850,319
562,1,849,339
563,1,848,354
564,1,850,352
565,1,847,378
566,1,850,415
567,1,847,443
568,1,848,462
569,1,847,466
570,0,0,0
571,0,0,0
572,0,0,0
573,0,0,0
574,1,846,589
575,1,848,592
576,1,853,612
577,1,851,649
578,1,851,664
579,1,851,659
580,1,856,655
581,1,856,654
582,1,862,649
583,1,858,649
584,1,856,647
585,1,856,647
586,1,854,647
587,1,854,647
588,1,857,652
589,1,857,657
590,1,860,662
591,1,859,666
592,1,865,676
593,1,865,676
594,1,868,678
595,1,868,678
596,1,873,679
597,1,873,679
598,1,875,679
599,1,877,679
600,1,876,681
601,1,878,683
602,1,880,680
603,1,880,682
604,1,881,684
605,1,881,684
606,1,881,684
607,1,881,684
608,1,881,684
609,1,883,684
610,1,883,684
611,1,883,684
612,0,0,0
613,1,652,257
614,1,652,257
615,1,652,257
616,1,652,257
617,1,652,257
618,1,652,257
619,1,652,257
620,1,652,257
621,1,652,257
622,1,652,257
623,1,652,257
624,1,652,257
625,1,652,257
626,1,652,257
627,1,652,257
628,1,652,257
629,1,652,257
630,1,652,257
631,1,652,257
632,1,652,257
633,1,652,257
634,1,652,257
635,1,652,257
636,1,648,258
637,1,648,258
638,1,648,258
639,1,648,258
640,1,647,257
641,1,647,257
642,1,644,259
643,1,643,259
644,1,643,257
645,1,640,258
646,1,641,259
647,1,638,261
648,1,634,261
649,1,636,261
650,1,635,262
651,1,630,262
652,1,632,263
653,1,629,264
654,1,628,269
655,1,628,269
656,1,627,272
657,1,625,273
658,1,625,275
659,1,624,277
660,1,623,277
661,1,622,282
662,1,623,283
663,1,624,283
664,1,624,287
665,1,624,295
666,1,622,300
667,1,626,301
668,1,624,302
669,1,623,310
670,1,624,317
671,1,625,332
672,1,625,335
673,1,622,337
674,1,638,208
675,1,650,145
676,1,654,88
677,1,662,42
678,1,663,9
679,1,667,7
680,0,0,0
681,0,0,0
682,0,0,0
683,0,0,0
684,0,0,0
685,0,0,0
686,0,0,0
687,0,0,0
688,0,0,0
689,0,0,0
690,0,0,0
691,0,0,0
692,0,0,0
693,0,0,0
694,0,0,0
695,0,0,0
696,0,0,0
697,0,0,0
698,0,0,0
699,0,0,0
700,0,0,0
701,0,0,0
702,0,0,0
703,0,0,0
704,0,0,0
705,0,0,0
706,0,0,0
707,0,0,0
708,0,0,0
709,0,0,0
710,0,0,0
711,0,0,0
712,0,0,0
713,0,0,0
714,0,0,0
715,0,0,0
716,0,0,0
717,0,0,0
718,0,0,0
719,0,0,0
720,0,0,0
721,0,0,0
722,1,774,14
723,1,774,44
724,1,781,68
725,1,782,96
726,1,782,122
727,1,781,124
728,1,785,151
729,1,782,164
730,1,784,207
731,1,783,233
732,1,783,233
733,1,786,266
734,1,785,293
735,1,787,313
736,1,788,339
737,1,791,382
738,0,0,0
739,0,0,0
740,0,0,0
741,0,0,0
742,1,650,323
743,1,632,316
744,0,0,0
745,0,0,0
746,1,612,318
747,1,597,316
748,1,591,316
749,1,585,319
750,1,581,321
751,1,579,326
752,1,579,328
753,1,568,334
754,1,568,338
755,1,562,348
756,1,558,351
757,1,558,351
758,1,557,357
759,1,552,366
760,1,554,373
761,1,540,338
762,0,0,0
763,1,536,316
764,1,533,297
765,1,526,283
766,1,522,273
767,1,520,255
768,1,519,242
769,1,516,243
770,1,516,241
771,1,513,231
772,1,512,229
773,1,509,228
774,1,508,226
775,1,508,226
776,1,507,221
777,1,503,225
778,1,503,225
779,1,501,229
780,1,500,236
781,1,500,236
782,1,497,242
783,1,496,249
784,1,493,258
785,1,492,271
786,1,492,271
787,1,492,281
788,1,491,295
789,1,488,313
790,1,490,321
791,1,488,345
792,1,486,368
793,1,486,368
794,1,485,383
795,1,486,397
796,1,502,369
797,1,512,334
798,1,512,334
799,1,518,308
800,1,530,293
801,1,535,278
802,1,541,268
803,1,546,258
804,1,551,255
805,1,551,255
806,1,556,251
807,1,560,246
808,1,567,246
809,1,568,246
810,1,574,249
811,1,572,249
812,1,578,251
813,1,578,255
814,1,580,252
815,1,594,273
816,1,604,284
817,1,605,284
818,1,612,292
819,1,621,308
820,1,624,320
821,1,631,332
822,1,638,345
823,1,642,359
824,1,647,369
825,1,655,385
826,1,659,396
827,1,664,413
828,1,665,415
829,0,0,0
830,0,0,0
831,0,0,0
832,0,0,0
833,0,0,0
834,1,684,512
835,0,0,0
836,0,0,0
837,1,696,578
838,1,699,602
839,1,703,628
840,1,702,626
841,1,703,657
842,1,706,666
843,1,708,668
844,1,712,664
845,1,715,662
846,1,714,661
847,1,714,661
848,1,714,656
849,1,717,657
850,1,717,664
851,1,717,666
852,1,721,668
853,1,718,668
854,1,718,675
855,1,722,676
856,1,722,680
857,1,725,680
858,1,725,680
859,1,725,680
860,1,725,678
861,1,725,678
862,1,727,677
863,1,730,677
864,1,730,681
865,1,730,681
866,1,733,682
867,1,733,682
868,1,733,682
869,1,733,682
870,1,733,682
871,1,733,688
872,1,733,686
873,1,736,686
874,1,736,686
875,1,736,686
876,1,736,686
877,1,736,686
878,1,736,686
879,1,738,686
880,1,738,686
881,1,738,686
882,1,738,686
883,1,738,686
884,1,738,686
885,1,738,686
886,1,738,686
887,1,738,686
888,1,738,686
889,1,738,686
890,1,738,686
891,1,738,686
892,1,738,686
893,1,733,690
894,1,733,690
895,1,733,690
896,1,733,690
897,1,733,690
898,1,733,690
899,1,733,690
900,1,733,690
901,1,733,690
902,1,733,690
903,1,733,690
904,1,733,690
905,1,733,690
906,1,733,690
907,1,733,690
908,1,733,690
909,1,733,690
910,1,733,690
911,1,733,690
912,1,733,690
913,1,733,690
914,1,733,690
915,1,733,690
916,1,733,690
917,1,733,690
918,1,733,690
919,1,733,690
920,1,732,691
921,1,728,691
922,1,728,691
923,1,732,691
924,1,731,691
925,1,731,691
926,1,731,691
927,1,731,691
928,1,731,691
929,1,731,691
930,1,731,691
931,1,731,691
932,1,731,691
933,1,731,691
934,0,0,0
935,0,0,0
936,0,0,0
937,0,0,0
938,0,0,0
939,0,0,0
940,0,0,0
941,0,0,0
942,1,719,647
943,0,0,0
944,0,0,0
945,0,0,0
946,0,0,0
947,1,716,586
948,1,713,586
949,1,714,582
950,1,716,571
951,1,714,566
952,1,713,563
953,1,713,558
954,1,714,558
955,1,712,558
956,1,713,557
957,0,0,0
958,0,0,0
959,0,0,0
960,0,0,0
961,0,0,0
962,0,0,0
963,0,0,0
964,0,0,0
965,0,0,0
966,0,0,0
967,0,0,0
968,0,0,0
969,0,0,0
970,0,0,0
971,0,0,0
972,1,678,259
973,1,678,259
974,1,678,259
975,1,678,259
976,1,678,259
977,1,678,259
978,1,677,261
979,1,677,261
980,1,677,261
981,1,677,261
982,1,677,261
983,1,673,259
984,1,673,259
985,1,673,259
986,1,672,261
987,1,671,261
988,1,671,261
989,1,666,259
990,1,663,261
991,1,666,261
992,1,664,262
993,1,662,263
994,1,661,265
995,1,661,265
996,1,657,267
997,1,654,270
998,1,654,270
999,1,651,273
1000,1,651,275
1001,1,649,277
1002,1,649,280
1003,1,648,281
1004,1,647,282
1005,1,647,282
1006,1,648,285
1007,1,648,288
1008,1,643,296
1009,1,646,301
1010,1,646,301
1011,1,643,308
1012,0,0,0
1013,1,643,321
1014,1,646,337
1015,1,633,276
1016,1,633,271
1017,1,626,190
1018,1,619,126
1019,1,618,78
1020,1,613,22
1021,0,0,0
1022,0,0,0
1023,0,0,0
1024,0,0,0
1025,0,0,0
1026,0,0,0
1027,0,0,0
1028,0,0,0
1029,0,0,0
1030,0,0,0
1031,0,0,0
1032,0,0,0
1033,0,0,0
1034,0,0,0
1035,0,0,0
1036,0,0,0
1037,0,0,0
1038,0,0,0
1039,0,0,0
1040,0,0,0
1041,0,0,0
1042,0,0,0
1043,0,0,0
1044,0,0,0
1045,0,0,0
1046,0,0,0
1047,0,0,0
1048,0,0,0
1049,0,0,0
1050,0,0,0
1051,0,0,0
1052,0,0,0
1053,0,0,0
1054,0,0,0
1055,0,0,0
1056,0,0,0
1057,0,0,0
1058,0,0,0
1059,0,0,0
1060,0,0,0
1061,0,0,0
1062,0,0,0
1063,0,0,0
1064,0,0,0
1065,0,0,0
1066,1,548,6
1067,1,549,30
1068,1,548,50
1069,1,552,55
1070,1,545,78
1071,1,549,105
1072,1,549,139
1073,1,552,164
1074,1,549,192
1075,1,549,192
1076,1,547,223
1077,1,550,250
1078,1,548,281
1079,1,548,304
1080,1,548,326
1081,1,549,323
1082,0,0,0
1083,0,0,0
1084,0,0,0
1085,1,659,308
1086,1,684,300
1087,1,684,300
1088,1,699,293
1089,1,715,292
1090,1,728,289
1091,1,737,289
1092,1,747,290
1093,1,748,290
1094,1,756,290
1095,1,765,298
1096,1,773,299
1097,1,782,304
1098,1,787,312
1099,1,787,312
1100,1,791,319
1101,1,799,328
1102,1,803,329
1103,1,810,343
1104,1,810,343
1105,1,810,340
1106,0,0,0
1107,1,825,328
1108,1,833,310
1109,1,838,299
1110,1,841,290
1111,1,842,286
1112,1,844,281
1113,1,850,273
1114,1,852,269
1115,1,857,266
1116,1,862,261
1117,1,862,261
1118,1,863,261
1119,1,868,262
1120,0,0,0
1121,1,873,265
1122,1,877,267
1123,1,879,273
1124,1,879,271
1125,1,883,276
1126,1,886,286
1127,1,887,290
1128,1,892,305
1129,1,892,304
1130,1,893,316
1131,1,896,328
1132,1,897,345
1133,1,898,355
1134,1,901,373
1135,1,904,393
1136,1,904,390
1137,1,905,400
1138,0,0,0
1139,1,852,330
1140,1,844,314
1141,1,844,314
1142,1,833,305
1143,1,828,300
1144,1,825,296
1145,1,820,293
1146,1,818,291
1147,1,818,291
1148,1,815,291
1149,1,812,292
1150,1,784,285
1151,1,764,280
1152,1,757,276
1153,1,756,276
1154,1,728,275
1155,1,712,276
1156,1,698,276
1157,1,685,277
1158,1,673,280
1159,1,669,281
1160,1,657,286
1161,1,649,289
1162,1,635,297
1163,1,625,302
1164,1,618,309
1165,1,603,318
1166,1,603,320
1167,1,599,327
1168,1,586,340
1169,1,578,353
1170,1,572,367
1171,1,568,366
1172,1,563,380
1173,1,554,393
1174,1,545,419
1175,1,544,420
1176,0,0,0
1177,1,569,377
1178,1,594,325
1179,1,613,284
1180,1,631,249
1181,1,645,226
1182,1,657,212
1183,1,653,214
1184,1,672,185
1185,1,683,170
1186,1,694,153
1187,1,703,143
1188,1,711,136
1189,1,712,136
1190,1,719,129
1191,1,726,121
1192,1,732,118
1193,1,743,116
1194,1,746,115
1195,1,750,116
1196,1,753,115
1197,1,759,117
1198,1,764,117
1199,1,771,119
1200,1,777,125
1201,1,780,125
1202,1,783,128
1203,1,786,134
1204,1,792,145
1205,1,798,148
1206,1,801,160
1207,1,802,160
1208,1,806,167
1209,1,810,175
1210,1,812,186
1211,1,816,195
1212,1,819,209
1213,1,819,209
1214,1,825,218
1215,1,825,229
1216,1,829,243
1217,1,832,253
1218,1,833,264
1219,1,836,267
1220,1,837,281
1221,1,837,289
1222,1,841,300
1223,1,844,315
1224,1,844,309
1225,1,844,310
1226,1,846,312
1227,1,845,304
1228,1,844,303
1229,1,843,300
1230,1,843,300
1231,1,844,300
1232,1,848,300
1233,1,845,300
1234,1,845,302
1235,0,0,0
1236,0,0,0
1237,0,0,0
1238,0,0,0
1239,1,848,312
1240,0,0,0
1241,0,0,0
1242,0,0,0
1243,0,0,0
1244,0,0,0
1245,0,0,0
1246,1,853,312
1247,1,853,312
1248,1,853,312
1249,1,853,312
1250,1,853,312
1251,1,853,314
1252,1,854,310
1253,1,854,314
1254,1,854,314
1255,1,856,314
1256,1,856,314
1257,1,856,314
1258,1,856,314
1259,1,856,314
1260,1,856,314
1261,1,856,314
1262,1,856,314
1263,1,856,314
1264,1,856,314
1265,1,856,314
1266,1,856,314
1267,1,856,314
1268,1,856,314
1269,1,856,314
1270,1,856,314
1271,1,856,314
1272,1,856,314
1273,1,856,314
1274,1,856,314
1275,1,856,314
1276,1,856,314
1277,1,856,314
1278,1,856,314
1279,1,856,314
1280,1,856,314
1281,1,856,314
1282,1,856,314
1283,1,856,314
1284,1,856,314
1285,1,856,314
1286,1,856,314
1287,1,856,314
1288,1,856,314
1289,1,856,314
1290,1,856,314
1291,1,856,314
1292,1,856,314
1293,1,856,314
1294,1,856,314
1295,1,856,314
1296,1,856,314
1297,1,856,314
1298,1,856,314
1299,1,856,314
1300,1,856,314
1301,1,856,314
1302,1,856,314
1303,1,856,314
1304,1,856,314
1305,1,854,314
1306,1,854,314
1307,1,854,314
1308,1,855,315
1309,1,855,315
1310,1,858,312
1311,1,855,313
1312,1,848,313
1313,1,843,312
1314,0,0,0
1315,1,835,306
1316,1,829,303
1317,1,820,299
1318,1,809,288
1319,1,799,279
1320,0,0,0
1321,0,0,0
1322,0,0,0
1323,0,0,0
1324,0,0,0
1325,0,0,0
1326,0,0,0
1327,0,0,0
1328,0,0,0
1329,1,649,258
1330,1,652,260
1331,1,652,260
1332,1,650,259
1333,1,650,259
1334,1,650,259
1335,1,650,259
1336,1,650,259
1337,1,650,259
1338,1,650,259
1339,1,650,259
1340,1,644,260
1341,1,644,260
1342,1,644,260
1343,1,644,260
1344,1,644,260
1345,1,639,258
1346,1,641,258
1347,1,639,258
1348,1,639,258
1349,1,639,258
1350,1,634,258
1351,1,634,259
1352,1,634,259
1353,1,633,260
1354,1,629,260
1355,1,629,264
1356,1,627,263
1357,1,628,269
1358,1,623,269
1359,1,624,273
1360,1,624,269
1361,1,623,273
1362,1,620,276
1363,1,620,278
1364,1,620,282
1365,1,620,282
1366,1,620,284
1367,1,619,283
1368,1,621,290
1369,1,623,294
1370,1,622,298
1371,1,620,305
1372,1,620,309
1373,1,622,313
1374,1,622,323
1375,1,619,335
1376,1,629,260
1377,1,644,184
1378,1,645,184
1379,1,654,123
1380,1,667,65
1381,1,674,15
1382,1,678,2
1383,0,0,0
1384,0,0,0
1385,0,0,0
1386,0,0,0
1387,0,0,0
1388,0,0,0
1389,0,0,0
1390,0,0,0
1391,0,0,0
1392,0,0,0
1393,0,0,0
1394,0,0,0
1395,0,0,0
1396,0,0,0
1397,0,0,0
1398,0,0,0
1399,0,0,0
1400,0,0,0
1401,0,0,0
1402,0,0,0
1403,0,0,0
1404,0,0,0
1405,0,0,0
1406,0,0,0
1407,0,0,0
1408,0,0,0
1409,0,0,0
1410,0,0,0
1411,0,0,0
1412,0,0,0
1413,0,0,0
1414,0,0,0
1415,0,0,0
1416,0,0,0
1417,0,0,0
1418,0,0,0
1419,0,0,0
1420,0,0,0
1421,0,0,0
1422,0,0,0
1423,0,0,0
1424,0,0,0
1425,0,0,0
1426,0,0,0
1427,1,824,24
1428,1,824,49
1429,1,825,77
1430,1,826,109
1431,1,830,137
1432,1,830,137
1433,1,829,169
1434,1,829,193
1435,1,831,217
1436,1,834,245
1437,1,834,279
1438,1,835,279
1439,1,835,305
1440,1,838,321
1441,1,836,358
1442,1,836,377
1443,1,826,349
1444,1,828,351
1445,1,820,337
1446,1,816,324
1447,1,810,313
1448,1,809,308
1449,1,806,305
1450,1,806,305
1451,1,805,302
1452,1,804,301
1453,1,804,303
1454,1,802,305
1455,1,802,308
1456,1,799,309
1457,1,801,312
1458,1,801,318
1459,1,802,323
1460,1,800,328
1461,1,801,336
1462,1,800,339
1463,1,801,345
1464,1,802,357
1465,1,781,350
1466,1,769,339
1467,1,749,317
1468,1,749,317
1469,1,730,306
1470,1,709,301
1471,1,697,291
1472,1,680,288
1473,1,666,283
1474,1,666,283
1475,1,654,279
1476,1,641,279
1477,1,629,279
1478,1,615,281
1479,1,605,283
1480,1,605,283
1481,1,595,285
1482,1,585,290
1483,1,573,298
1484,1,566,303
1485,1,555,310
1486,1,555,310
1487,1,549,318
1488,1,539,330
1489,1,528,342
1490,1,522,350
1491,1,516,365
1492,1,516,365
1493,1,509,379
1494,1,501,394
1495,1,497,408
1496,1,491,423
1497,1,488,410
1498,1,486,408
1499,1,495,277
1500,1,496,205
1501,1,504,139
1502,1,508,93
1503,1,510,53
1504,1,512,45
1505,1,513,13
1506,1,513,5
1507,0,0,0
1508,0,0,0
1509,0,0,0
1510,0,0,0
1511,0,0,0
1512,0,0,0
1513,0,0,0
1514,0,0,0
1515,0,0,0
1516,0,0,0
1517,0,0,0
1518,0,0,0
1519,0,0,0
1520,0,0,0
1521,0,0,0
1522,0,0,0
1523,0,0,0
1524,0,0,0
1525,0,0,0
1526,0,0,0
1527,0,0,0
1528,0,0,0
1529,0,0,0
1530,0,0,0
1531,0,0,0
1532,0,0,0
1533,0,0,0
1534,0,0,0
1535,0,0,0
1536,0,0,0
1537,0,0,0
1538,0,0,0
1539,0,0,0
1540,0,0,0
1541,0,0,0
1542,0,0,0
1543,0,0,0
1544,0,0,0
1545,0,0,0
1546,0,0,0
1547,0,0,0
1548,1,602,28
1549,1,604,42
1550,1,605,59
1551,1,606,57
1552,1,607,75
1553,1,610,92
1554,1,613,109
1555,1,613,123
1556,1,615,139
1557,1,613,141
1558,1,614,158
1559,1,615,165
1560,1,628,245
1561,1,635,275
1562,1,644,314
1563,1,644,314
1564,1,649,335
1565,1,658,366
1566,0,0,0
1567,1,668,405
1568,1,671,428
1569,1,671,428
1570,0,0,0
1571,0,0,0
1572,0,0,0
1573,1,697,396
1574,1,703,378
1575,1,703,378
1576,1,712,357
1577,1,720,340
1578,1,726,325
1579,1,733,311
1580,1,737,304
1581,1,737,304
1582,1,741,295
1583,1,745,289
1584,1,753,285
1585,1,756,281
1586,1,761,280
1587,1,761,280
1588,1,765,280
1589,1,769,281
1590,1,773,282
1591,1,777,287
1592,1,781,291
1593,1,781,291
1594,1,784,297
1595,1,788,301
1596,1,793,309
1597,1,795,317
1598,1,800,329
1599,1,800,329
1600,1,801,332
1601,1,775,313
1602,1,753,297
1603,1,733,281
1604,1,717,269
1605,1,717,269
1606,1,701,261
1607,1,686,254
1608,1,675,251
1609,1,657,245
1610,1,646,241
1611,1,646,241
1612,1,633,240
1613,1,624,239
1614,1,615,243
1615,1,604,245
1616,1,590,249
1617,1,592,250
1618,1,582,254
1619,1,570,265
1620,1,561,272
1621,1,553,279
1622,1,542,290
1623,1,541,294
1624,1,534,305
1625,1,525,318
1626,1,517,333
1627,1,512,348
1628,1,500,370
1629,1,500,373
1630,1,501,371
1631,1,502,355
1632,1,510,317
1633,1,516,295
1634,1,520,280
1635,1,520,280
1636,1,525,268
1637,1,525,262
1638,1,533,253
1639,1,535,250
1640,1,537,249
1641,1,537,249
1642,1,539,248
1643,1,542,248
1644,1,545,248
1645,1,546,250
1646,1,550,254
1647,1,551,251
1648,1,551,257
1649,1,544,264
1650,1,536,259
1651,1,529,263
1652,1,526,267
1653,1,526,267
1654,1,521,273
1655,1,520,279
1656,1,517,285
1657,1,513,292
1658,1,509,300
1659,1,509,301
1660,1,508,313
1661,1,504,319
1662,1,501,330
1663,1,498,343
