rally,ball_round,time,frame_num,player,server,type,aroundhead,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height
5,2,00:53:12,95760,B,,挑球,,,A1,155,568,2.0,,,3,1,,B3,77.0,45.0,1.0
5,3,00:53:13.633000,95809,A,,切球,,,B3,77,45,1.0,,,3,1,,C1,85.0,495.0,2.0
5,4,00:53:14.467000,95834,B,,放小球,,1.0,C1,85,495,2.0,,,3,1,,B1,99.0,353.0,2.0
5,5,00:53:15.300000,95859,A,,挑球,,,B1,99,353,2.0,,,3,1,,B3,333.0,931.0,2.0
5,6,00:53:16.833000,95905,B,,未擊球,,,B3,333,931,2.0,落地,對手判斷失誤,4,1,A,,,,
6,1,00:53:31.600000,96348,A,1.0,發小球,,1.0,A2,223,293,2.0,,,4,1,,A1,259.0,575.0,2.0
6,2,00:53:32.300000,96369,B,,挑球,,,A1,259,575,2.0,,,4,1,,B3,98.0,72.0,1.0
6,3,00:53:33.700000,96411,A,,殺球,,,B3,98,72,1.0,,,4,1,,A2,156.0,748.0,2.0
6,4,00:53:34.067000,96422,B,,擋小球,,1.0,A2,156,748,2.0,,,4,1,,A2,254.0,263.0,2.0
6,5,00:53:34.933000,96448,A,,放小球,,1.0,A2,254,263,2.0,,,4,1,,A1,228.0,501.0,2.0
6,6,00:53:35.733000,96472,B,,挑球,,1.0,A1,228,501,2.0,,,4,1,,C3,316.0,54.0,2.0
6,7,00:53:37.200000,96516,A,,長球,,1.0,C3,316,54,2.0,,,4,1,,B2,388.0,831.0,1.0
6,8,00:53:38.300000,96549,B,,切球,,,B2,388,831,1.0,,,4,1,,C2,371.0,245.0,2.0
6,9,00:53:39.067000,96572,A,,放小球,,1.0,C2,371,245,2.0,,,4,1,,A1,127.0,560.0,2.0
6,10,00:53:39.967000,96599,B,,放小球,,1.0,A1,127,560,2.0,,,4,1,,A1,229.0,401.0,2.0
6,11,00:53:40.767000,96623,A,,挑球,,1.0,A1,229,401,2.0,,,4,1,,C2,83.0,857.0,1.0
6,12,00:53:42.133000,96664,B,,長球,1.0,,C2,83,857,1.0,,,4,1,,B3,66.0,42.0,2.0
6,13,00:53:43.567000,96707,A,,過渡切球,,,B3,66,42,2.0,,,4,1,,B1,347.0,565.0,2.0
6,14,00:53:44.467000,96734,B,,放小球,,,B1,347,565,2.0,,,4,1,,C1,349.0,390.0,2.0
6,15,00:53:45.333000,96760,A,,放小球,,1.0,C1,349,390,2.0,,,4,1,,B1,342.0,496.0,2.0
6,16,00:53:46.100000,96783,B,,挑球,,,B1,342,496,2.0,,,4,1,,B3,86.0,37.0,2.0
6,17,00:53:47.533000,96826,A,,長球,,,B3,86,37,2.0,,,4,1,,E2,11.0,835.0,2.0
6,18,00:53:48.967000,96869,B,,未擊球,,,E2,11,835,2.0,出界,前一球質量佳,4,2,B,,,,
7,1,00:54:07.533000,97426,B,1.0,發小球,,1.0,A2,196,642,2.0,,,4,2,,A1,136.0,347.0,2.0
7,2,00:54:08.333000,97450,A,,挑球,,,A1,136,347,2.0,,,4,2,,C2,101.0,711.0,1.0
7,3,00:54:09,97470,B,,殺球,,1.0,C2,101,711,1.0,,,4,2,,A2,166.0,193.0,2.0
7,4,00:54:09.433000,97483,A,,擋小球,,1.0,A2,166,193,2.0,,,4,2,,A1,160.0,440.0,2.0
7,5,00:54:10.133000,97504,A,,未過網,,,A1,160,440,2.0,未回擊成功,前一球質量差,4,3,B,,,,
8,1,00:54:26.033000,97981,B,1.0,發小球,,1.0,A2,178,633,2.0,,,4,3,,A1,253.0,342.0,2.0
8,2,00:54:26.667000,98000,A,,挑球,,,A1,253,342,2.0,,,4,3,,A3,310.0,879.0,1.0
8,3,00:54:28.067000,98042,B,,切球,,,A3,310,879,1.0,,,4,3,,A2,215.0,272.0,2.0
8,4,00:54:28.733000,98062,A,,放小球,,1.0,A2,215,272,2.0,,,4,3,,E2,14.0,857.0,2.0
8,5,00:54:29.800000,98094,B,,未擊球,,,E2,14,857,2.0,出界,對手失誤,4,4,B,,,,
9,1,00:54:45.667000,98570,B,1.0,發小球,,1.0,A2,186,660,2.0,,,4,4,,B1,81.0,366.0,2.0
9,2,00:54:46.400000,98592,A,,放小球,,,B1,81,366,2.0,,,4,4,,C1,62.0,578.0,2.0
9,3,00:54:47.133000,98614,B,,挑球,,1.0,C1,62,578,2.0,,,4,4,,B3,71.0,52.0,1.0
9,4,00:54:48.233000,98647,A,,切球,,,B3,71,52,1.0,,,4,4,,A1,131.0,593.0,2.0
9,5,00:54:49.100000,98673,B,,挑球,,1.0,A1,131,593,2.0,,,4,4,,B3,72.0,60.0,1.0
9,6,00:54:50.300000,98709,A,,切球,,,B3,72,60,1.0,,,4,4,,C2,94.0,673.0,2.0
9,7,00:54:50.967000,98729,B,,挑球,,1.0,C2,94,673,2.0,,,4,4,,B3,48.0,43.0,2.0
9,8,00:54:52.167000,98765,A,,長球,,,B3,48,43,2.0,,,4,4,,C2,107.0,843.0,1.0
9,9,00:54:53.533000,98806,B,,殺球,1.0,,C2,107,843,1.0,,,4,4,,B2,69.0,212.0,2.0
9,10,00:54:54,98820,A,,擋小球,,,B2,69,212,2.0,,,4,4,,A1,108.0,523.0,1.0
9,11,00:54:54.933000,98848,B,,放小球,,1.0,A1,108,523,1.0,,,4,4,,B1,102.0,364.0,2.0
9,12,00:54:55.800000,98874,A,,放小球,,,B1,102,364,2.0,,,4,4,,B1,84.0,435.0,2.0
9,13,00:54:57,98910,A,,掛網球,,,B1,84,435,2.0,未回擊成功,小球隱蔽,4,5,B,,,,
10,1,00:55:41.100000,100233,B,1.0,發小球,,1.0,A2,167,635,2.0,,,4,5,,A1,230.0,347.0,2.0
10,2,00:55:41.767000,100253,A,,放小球,,,A1,230,347,2.0,,,4,5,,B1,328.0,553.0,2.0
10,3,00:55:42.400000,100272,B,,放小球,,,B1,328,553,2.0,,,4,5,,C1,328.0,366.0,2.0
10,4,00:55:43.233000,100297,A,,放小球,,1.0,C1,328,366,2.0,,,4,5,,C1,102.0,557.0,2.0
10,5,00:55:44.100000,100323,B,,挑球,,1.0,C1,102,557,2.0,,,4,5,,B2,87.0,121.0,1.0
10,6,00:55:44.800000,100344,A,,殺球,,,B2,87,121,1.0,,,4,5,,A2,292.0,690.0,2.0
10,7,00:55:45.333000,100360,B,,擋小球,,,A2,292,690,2.0,,,4,5,,C2,331.0,288.0,2.0
10,8,00:55:46.333000,100390,A,,放小球,,1.0,C2,331,288,2.0,,,4,5,,B1,329.0,596.0,2.0
10,9,00:55:47.333000,100420,B,,挑球,,,B1,329,596,2.0,,,4,5,,C3,326.0,57.0,1.0
10,10,00:55:48.267000,100448,A,,殺球,1.0,,C3,326,57,1.0,,,4,5,,D2,402.0,809.0,2.0
10,11,00:55:48.833000,100465,B,,未擊球,,,D2,402,809,2.0,出界,對手失誤,4,6,B,,,,
11,1,00:56:13.600000,101208,B,1.0,發小球,,1.0,A2,192,642,2.0,,,4,6,,A1,123.0,334.0,2.0
11,2,00:56:14.267000,101228,A,,放小球,,1.0,A1,123,334,2.0,,,4,6,,C1,94.0,495.0,2.0
11,3,00:56:15.167000,101255,B,,挑球,,1.0,C1,94,495,2.0,,,4,6,,C3,318.0,38.0,1.0
11,4,00:56:17,101310,A,,切球,1.0,,C3,318,38,1.0,,,4,6,,B2,352.0,707.0,2.0
11,5,00:56:17.667000,101330,B,,放小球,,,B2,352,707,2.0,,,4,6,,A1,296.0,318.0,2.0
11,6,00:56:18.500000,101355,A,,放小球,,1.0,A1,296,318,2.0,,,4,6,,A1,146.0,508.0,2.0
11,7,00:56:19.200000,101376,B,,放小球,,1.0,A1,146,508,2.0,,,4,6,,A1,194.0,426.0,2.0
11,8,00:56:20.033000,101401,A,,放小球,,1.0,A1,194,426,2.0,,,4,6,,A1,230.0,478.0,1.0
11,9,00:56:20.500000,101415,B,,撲球,,,A1,230,478,1.0,,,4,6,,A2,188.0,189.0,2.0
11,10,00:56:21,101430,A,,未擊球,,,A2,188,189,2.0,落地,小球被抓,4,7,B,,,,
12,1,00:56:39.267000,101978,B,1.0,發小球,,1.0,A2,174,642,2.0,,,4,7,,A1,303.0,311.0,2.0
12,2,00:56:39.967000,101999,A,,挑球,,1.0,A1,303,311,2.0,,,4,7,,C2,104.0,837.0,1.0
12,3,00:56:41.033000,102031,B,,長球,1.0,,C2,104,837,1.0,,,4,7,,B3,74.0,39.0,1.0
12,4,00:56:42.167000,102065,A,,切球,,,B3,74,39,1.0,,,4,7,,A1,301.0,610.0,2.0
12,5,00:56:42.833000,102085,B,,放小球,,,A1,301,610,2.0,,,4,7,,A2,218.0,289.0,2.0
12,6,00:56:43.633000,102109,A,,挑球,,,A2,218,289,2.0,,,4,7,,B3,354.0,920.0,2.0
12,7,00:56:45.167000,102155,B,,未擊球,,,B3,354,920,2.0,落地,對手判斷失誤,5,7,A,,,,
13,1,00:57:01.900000,102657,A,1.0,發小球,,1.0,A2,229,286,2.0,,,5,7,,A1,151.0,566.0,2.0
13,2,00:57:02.567000,102677,B,,挑球,,1.0,A1,151,566,2.0,,,5,7,,B2,80.0,87.0,1.0
13,3,00:57:03.567000,102707,A,,切球,,,B2,80,87,1.0,,,5,7,,A1,288.0,623.0,2.0
13,4,00:57:04.367000,102731,B,,放小球,,,A1,288,623,2.0,,,5,7,,A1,178.0,360.0,2.0
13,5,00:57:05.100000,102753,A,,放小球,,1.0,A1,178,360,2.0,,,5,7,,C1,100.0,528.0,2.0
13,6,00:57:05.800000,102774,B,,挑球,,1.0,C1,100,528,2.0,,,5,7,,A3,307.0,41.0,1.0
13,7,00:57:06.967000,102809,A,,長球,1.0,,A3,307,41,1.0,,,5,7,,A3,310.0,907.0,1.0
13,8,00:57:08.367000,102851,B,,切球,,,A3,310,907,1.0,,,5,7,,C1,322.0,316.0,2.0
13,9,00:57:09.133000,102874,A,,放小球,,1.0,C1,322,316,2.0,,,5,7,,B1,339.0,506.0,2.0
13,10,00:57:10,102900,B,,挑球,,,B1,339,506,2.0,,,5,7,,B3,69.0,47.0,2.0
13,11,00:57:11.300000,102939,A,,長球,,,B3,69,47,2.0,,,5,7,,A2,279.0,818.0,1.0
13,12,00:57:12.200000,102966,B,,切球,,,A2,279,818,1.0,,,5,7,,C2,351.0,200.0,2.0
13,13,00:57:12.767000,102983,A,,擋小球,,1.0,C2,351,200,2.0,,,5,7,,B1,352.0,569.0,2.0
13,14,00:57:13.600000,103008,B,,挑球,,,B1,352,569,2.0,,,5,7,,B2,87.0,83.0,2.0
13,15,00:57:14.733000,103042,A,,長球,,,B2,87,83,2.0,,,5,7,,C2,87.0,753.0,1.0
13,16,00:57:15.467000,103064,B,,切球,1.0,,C2,87,753,1.0,,,5,7,,B2,56.0,193.0,2.0
13,17,00:57:15.900000,103077,A,,擋小球,,,B2,56,193,2.0,,,5,7,,B1,78.0,436.0,2.0
13,18,00:57:16.233000,103087,A,,未過網,,,B1,78,436,2.0,未回擊成功,對手前一球質量差,5,8,B,,,,
14,1,00:58:02.133000,104464,B,1.0,發小球,,1.0,A2,194,644,2.0,,,5,8,,A1,129.0,317.0,2.0
14,2,00:58:02.933000,104488,A,,挑球,,1.0,A1,129,317,2.0,,,5,8,,A2,310.0,828.0,1.0
14,3,00:58:03.967000,104519,B,,殺球,,,A2,310,828,1.0,,,5,8,,A2,244.0,171.0,2.0
14,4,00:58:04.333000,104530,A,,擋小球,,1.0,A2,244,171,2.0,,,5,8,,A1,151.0,464.0,2.0
14,5,00:58:05.033000,104551,A,,掛網球,,,A1,151,464,2.0,未回擊成功,殺球強勁,5,9,B,,,,
15,1,00:58:22.200000,105066,B,1.0,發小球,,1.0,A2,176,631,2.0,,,5,9,,A1,253.0,355.0,2.0
15,2,00:58:22.733000,105082,A,,放小球,,,A1,253,355,2.0,,,5,9,,A1,300.0,528.0,2.0
15,3,00:58:23.567000,105107,B,,挑球,,,A1,300,528,2.0,,,5,9,,B3,63.0,45.0,2.0
15,4,00:58:24.867000,105146,A,,長球,,,B3,63,45,2.0,,,5,9,,C2,70.0,806.0,1.0
15,5,00:58:25.833000,105175,B,,殺球,1.0,,C2,70,806,1.0,,,5,9,,C2,380.0,193.0,2.0
15,6,00:58:26.433000,105193,A,,擋小球,,1.0,C2,380,193,2.0,,,5,9,,A1,274.0,576.0,2.0
15,7,00:58:27.633000,105229,B,,未擊球,,,A1,274,576,2.0,落地,回位不及,6,9,A,,,,
16,1,00:59:11.833000,106555,A,1.0,發小球,,1.0,A2,227,281,2.0,,,6,9,,A1,259.0,568.0,2.0
16,2,00:59:12.633000,106579,B,,放小球,,,A1,259,568,2.0,,,6,9,,A1,230.0,428.0,2.0
16,3,00:59:13.533000,106606,A,,挑球,,1.0,A1,230,428,2.0,,,6,9,,C3,99.0,863.0,1.0
16,4,00:59:15.067000,106652,B,,切球,1.0,,C3,99,863,1.0,,,6,9,,C2,315.0,279.0,2.0
16,5,00:59:15.800000,106674,A,,放小球,,1.0,C2,315,279,2.0,,,6,9,,A1,308.0,571.0,2.0
16,6,00:59:16.667000,106700,B,,放小球,,,A1,308,571,2.0,,,6,9,,B1,79.0,318.0,2.0
16,7,00:59:17.733000,106732,A,,放小球,,,B1,79,318,2.0,,,6,9,,C1,81.0,507.0,1.0
16,8,00:59:18.600000,106758,B,,挑球,,1.0,C1,81,507,1.0,,,6,9,,A2,114.0,126.0,1.0
16,9,00:59:19.400000,106782,A,,殺球,,,A2,114,126,1.0,,,6,9,,A2,133.0,683.0,2.0
16,10,00:59:19.800000,106794,B,,擋小球,,1.0,A2,133,683,2.0,,,6,9,,C2,325.0,301.0,2.0
16,11,00:59:20.767000,106823,A,,擋小球,,1.0,C2,325,301,2.0,,,6,9,,A1,230.0,494.0,1.0
16,12,00:59:21.633000,106849,B,,撲球,,,A1,230,494,1.0,,,6,9,,A2,266.0,152.0,2.0
16,13,00:59:21.967000,106859,A,,防守回挑,,,A2,266,152,2.0,,,6,9,,B2,381.0,799.0,2.0
16,14,00:59:23.367000,106901,B,,過渡切球,,,B2,381,799,2.0,,,6,9,,B1,99.0,361.0,2.0
16,15,00:59:24.433000,106933,A,,挑球,,,B1,99,361,2.0,,,6,9,,C2,85.0,683.0,1.0
16,16,00:59:25.133000,106954,B,,長球,,1.0,C2,85,683,1.0,,,6,9,,A3,150.0,49.0,1.0
16,17,00:59:26.500000,106995,A,,切球,,,A3,150,49,1.0,,,6,9,,B2,367.0,703.0,2.0
16,18,00:59:27.167000,107015,B,,擋小球,,,B2,367,703,2.0,,,6,9,,A1,281.0,363.0,2.0
16,19,00:59:28.133000,107044,A,,放小球,,1.0,A1,281,363,2.0,,,6,9,,B1,321.0,524.0,2.0
16,20,00:59:29.067000,107072,B,,挑球,,,B1,321,524,2.0,,,6,9,,B3,85.0,72.0,1.0
16,21,00:59:30.833000,107125,A,,殺球,,,B3,85,72,1.0,,,6,9,,C2,84.0,739.0,2.0
16,22,00:59:31.300000,107139,B,,擋小球,,1.0,C2,84,739,2.0,,,6,9,,A1,178.0,317.0,2.0
16,23,00:59:32.267000,107168,A,,放小球,,1.0,A1,178,317,2.0,,,6,9,,A1,181.0,487.0,2.0
16,24,00:59:33.100000,107193,B,,挑球,,1.0,A1,181,487,2.0,,,6,9,,C3,333.0,38.0,1.0
16,25,00:59:34.300000,107229,A,,長球,1.0,,C3,333,38,1.0,,,6,9,,A3,314.0,866.0,1.0
16,26,00:59:35.967000,107279,B,,切球,,,A3,314,866,1.0,,,6,9,,A2,127.0,240.0,2.0
16,27,00:59:36.567000,107297,A,,挑球,,,A2,127,240,2.0,,,6,9,,C2,104.0,746.0,1.0
16,28,00:59:37.333000,107320,B,,擋小球,,1.0,C2,104,746,1.0,,,6,9,,B2,101.0,279.0,2.0
16,29,00:59:38.100000,107343,A,,挑球,,,B2,101,279,2.0,,,6,9,,B2,335.0,816.0,1.0
16,30,00:59:39.133000,107374,B,,切球,,,B2,335,816,1.0,,,6,9,,C1,321.0,326.0,2.0
16,31,00:59:40.033000,107401,A,,放小球,,1.0,C1,321,326,2.0,,,6,9,,C1,101.0,503.0,2.0
16,32,00:59:41,107430,B,,放小球,,1.0,C1,101,503,2.0,,,6,9,,A1,113.0,433.0,2.0
16,33,00:59:41.900000,107457,A,,挑球,,,A1,113,433,2.0,,,6,9,,A2,248.0,855.0,1.0
16,34,00:59:44.167000,107525,B,,殺球,,,A2,248,855,1.0,,,6,9,,A2,209.0,163.0,2.0
16,35,00:59:44.567000,107537,A,,擋小球,,1.0,A2,209,163,2.0,,,6,9,,A1,145.0,594.0,1.0
16,36,00:59:45.300000,107559,B,,放小球,,1.0,A1,145,594,1.0,,,6,9,,C1,333.0,332.0,2.0
16,37,00:59:46.167000,107585,A,,放小球,,1.0,C1,333,332,2.0,,,6,9,,B1,369.0,507.0,2.0
16,38,00:59:47.100000,107613,B,,挑球,,,B1,369,507,2.0,,,6,9,,A2,124.0,76.0,1.0
16,39,00:59:49.100000,107673,A,,殺球,,,A2,124,76,1.0,,,6,9,,A2,279.0,729.0,2.0
16,40,00:59:49.633000,107689,B,,防守回挑,,,A2,279,729,2.0,,,6,9,,A2,290.0,166.0,1.0
16,41,00:59:50.400000,107712,A,,長球,,1.0,A2,290,166,1.0,,,6,9,,B2,352.0,825.0,1.0
16,42,00:59:51.567000,107747,B,,長球,,,B2,352,825,1.0,,,6,9,,A3,301.0,53.0,1.0
16,43,00:59:53.100000,107793,A,,長球,1.0,,A3,301,53,1.0,,,6,9,,C2,85.0,852.0,1.0
16,44,00:59:54.233000,107827,B,,長球,1.0,,C2,85,852,1.0,,,6,9,,B3,68.0,52.0,1.0
16,45,00:59:55.833000,107875,A,,切球,,,B3,68,52,1.0,,,6,9,,B2,372.0,654.0,2.0
16,46,00:59:56.633000,107899,B,,未擊球,,,B2,372,654,2.0,落地,切球質量高,7,9,A,,,,
17,1,01:01:02.200000,109866,A,1.0,發小球,,1.0,A2,236,279,2.0,,,7,9,,A1,164.0,569.0,2.0
17,2,01:01:02.900000,109887,B,,放小球,,1.0,A1,164,569,2.0,,,7,9,,B1,81.0,352.0,2.0
17,3,01:01:03.667000,109910,A,,放小球,,,B1,81,352,2.0,,,7,9,,C1,72.0,509.0,2.0
17,4,01:01:04.433000,109933,B,,放小球,,1.0,C1,72,509,2.0,,,7,9,,A1,109.0,423.0,2.0
17,5,01:01:05.300000,109959,A,,挑球,,,A1,109,423,2.0,,,7,9,,C2,80.0,852.0,1.0
17,6,01:01:06.767000,110003,B,,切球,1.0,,C2,80,852,1.0,,,7,9,,B2,63.0,177.0,2.0
17,7,01:01:07.267000,110018,A,,放小球,,,B2,63,177,2.0,,,7,9,,B1,85.0,464.0,2.0
17,8,01:01:07.733000,110032,A,,掛網球,,,B1,85,464,2.0,未回擊成功,對手失誤,7,10,B,,,,
18,1,01:01:28.100000,110643,B,1.0,發小球,,1.0,A2,199,645,2.0,,,7,10,,B1,83.0,320.0,2.0
18,2,01:01:28.800000,110664,A,,放小球,,,B1,83,320,2.0,,,7,10,,A1,266.0,566.0,2.0
18,3,01:01:29.633000,110689,B,,挑球,,,A1,266,566,2.0,,,7,10,,A3,134.0,42.0,1.0
18,4,01:01:30.900000,110727,A,,殺球,,,A3,134,42,1.0,,,7,10,,A2,188.0,735.0,2.0
18,5,01:01:31.300000,110739,B,,擋小球,,1.0,A2,188,735,2.0,,,7,10,,A1,248.0,307.0,2.0
18,6,01:01:32.367000,110771,A,,挑球,,1.0,A1,248,307,2.0,,,7,10,,A2,112.0,859.0,1.0
18,7,01:01:33.767000,110813,B,,長球,1.0,,A2,112,859,1.0,,,7,10,,A3,311.0,48.0,1.0
18,8,01:01:35.167000,110855,A,,長球,,1.0,A3,311,48,1.0,,,7,10,,A2,301.0,827.0,1.0
18,9,01:01:36.233000,110887,B,,殺球,,,A2,301,827,1.0,,,7,10,,B2,74.0,178.0,2.0
18,10,01:01:36.667000,110900,A,,擋小球,,,B2,74,178,2.0,,,7,10,,C1,101.0,575.0,2.0
18,11,01:01:37.567000,110927,B,,放小球,,1.0,C1,101,575,2.0,,,7,10,,B1,101.0,382.0,2.0
18,12,01:01:38.500000,110955,A,,挑球,,,B1,101,382,2.0,,,7,10,,C2,77.0,853.0,1.0
18,13,01:01:39.867000,110996,B,,切球,1.0,,C2,77,853,1.0,,,7,10,,B2,61.0,195.0,2.0
18,14,01:01:40.367000,111011,A,,擋小球,,,B2,61,195,2.0,,,7,10,,C1,97.0,564.0,2.0
18,15,01:01:41.367000,111041,B,,放小球,,1.0,C1,97,564,2.0,,,7,10,,B1,86.0,464.0,2.0
18,16,01:01:42.067000,111062,B,,掛網球,,1.0,B1,86,464,2.0,未回擊成功,對手失誤,8,10,A,,,,
19,1,01:02:27.033000,112411,A,1.0,發小球,,1.0,A2,227,282,2.0,,,8,10,,A1,246.0,574.0,2.0
19,2,01:02:27.733000,112432,B,,放小球,,,A1,246,574,2.0,,,8,10,,A1,166.0,392.0,2.0
19,3,01:02:28.533000,112456,A,,放小球,,1.0,A1,166,392,2.0,,,8,10,,A1,193.0,498.0,2.0
19,4,01:02:29.200000,112476,B,,放小球,,1.0,A1,193,498,2.0,,,8,10,,A1,296.0,415.0,2.0
19,5,01:02:29.933000,112498,A,,放小球,,1.0,A1,296,415,2.0,,,8,10,,A1,313.0,525.0,2.0
19,6,01:02:30.833000,112525,B,,放小球,,,A1,313,525,2.0,,,8,10,,A1,314.0,432.0,2.0
19,7,01:02:31.933000,112558,A,,未擊球,,,A1,314,432,2.0,落地,小球隱蔽,8,11,B,,,,
20,1,01:03:57.467000,115124,B,1.0,發小球,,1.0,A2,235,277,2.0,,,8,11,,A1,173.0,566.0,2.0
20,2,01:03:58.133000,115144,A,,挑球,,,A1,173,566,2.0,,,8,11,,A2,134.0,89.0,1.0
20,3,01:03:58.900000,115167,B,,殺球,,,A2,134,89,1.0,,,8,11,,A2,303.0,776.0,2.0
20,4,01:03:59.367000,115181,A,,擋小球,,,A2,303,776,2.0,,,8,11,,A2,308.0,268.0,1.0
20,5,01:04:00.233000,115207,B,,放小球,,1.0,A2,308,268,1.0,,,8,11,,A1,294.0,537.0,2.0
20,6,01:04:01.067000,115232,A,,挑球,,,A1,294,537,2.0,,,8,11,,A2,116.0,85.0,1.0
20,7,01:04:02.067000,115262,B,,殺球,,,A2,116,85,1.0,,,8,11,,A2,307.0,746.0,2.0
20,8,01:04:02.533000,115276,A,,擋小球,,,A2,307,746,2.0,,,8,11,,D2,393.0,788.0,2.0
20,9,01:04:02.667000,115280,A,,未過網,,,D2,393,788,2.0,未回擊成功,殺球強勁,8,12,B,,,,
21,1,01:04:21.933000,115858,B,1.0,發小球,,1.0,A2,225,258,2.0,,,8,12,,A1,264.0,532.0,2.0
21,2,01:04:22.633000,115879,A,,挑球,,,A1,264,532,2.0,,,8,12,,A3,115.0,67.0,1.0
21,3,01:04:23.567000,115907,B,,殺球,,,A3,115,67,1.0,,,8,12,,C2,56.0,808.0,2.0
21,4,01:04:24,115920,A,,擋小球,,,C2,56,808,2.0,,,8,12,,A1,117.0,465.0,2.0
21,5,01:04:24.500000,115935,A,,掛網球,,,A1,117,465,2.0,未回擊成功,殺球強勁,8,13,B,,,,
22,1,01:04:43.267000,116498,B,1.0,發小球,,1.0,A2,237,269,2.0,,,8,13,,A1,150.0,580.0,2.0
